name,username,created_at,description,protected,id,verified,lower_name,SQ_CANDIDATO,instagram_url,n_instagram,twitter_url,twitter_user,n_twitter,same,followers_count,following_count,tweet_count,listed_count,days_created,digits_name,digits_desc
Fabio Adonis,FabioAdonis,2011-07-19T19:25:56.000Z,"Não é fácil ser eu!! vamos trabalhar!!! Saúde para nós, eu quero mais viver em paz.",0,338562796,0,fabioadonis,250001620657,https://www.instagram.com/FabioAdonis,1,https://www.twitter.com/FabioAdonis,fabioadonis,1,1,70,225,147,0,4047.190324074074,0.0,0.0
Dr. Bernardo Amorim,drbernardorn,2022-06-09T19:26:40.000Z,"Deputado Estadual - RN, médico e Ex-Prefeito do município de Almino Afonso/RN.",0,1534980098545401880,0,drbernardorn,200001605989,http://instagran.com/drbernardorn?igshid=ymMyMTA2M2y=,1,http://twitter.com/Dbernardorn,dbernardorn,1,0,2,1,0,0,69.18981481481482,0.0,0.0
Alan Santana,AllanTurnowski,2014-10-27T02:54:42.000Z,,0,2878930248,0,allanturnowski,190001596776,https://www.instagram.com/allanturnowski/,1,https://twitter.com/TurnowskiAllan,turnowskiallan,1,0,2,11,3,0,2851.878680555556,0.0,0.0
Janir Souza Branco,BrancoJanir,2017-03-05T01:32:54.000Z,"Advogado, Casado com Cristine Bello Branco, pai do Gustavo, Isabela e do Lorenzo.",0,838200613875900416,0,brancojanir,210001647991,https://www.instagram.com/brancojanir/,1,https://twitter.com/BrancoJanir,brancojanir,1,1,29,121,7,0,1991.9354861111112,0.0,0.0
Janete Pietá,janetepieta,2009-08-31T10:27:21.000Z,"Candidata a Dep. Estadual 
1️⃣3️⃣8️⃣7️⃣7️⃣ PT/SP. 
Peço seu apoio e seu voto!",0,70361625,0,janetepieta,250001611743,https://www.instagram.com/janetepieta/,1,https://mobile.twitter.com/janetepieta,janetepieta,1,1,2148,697,3183,83,4734.564340277778,0.0,0.0
Hugo Motta,HugoMottaPB,2010-01-27T16:33:39.000Z,"Médico, exercendo o mandato de Dep. Federal pelo Republicanos da Paraíba, sendo eleito como o mais jovem da história do país.",0,108988113,0,hugomottapb,150001619545,http://www.instagram.com/hugomottapb,1,http://www.twitter.com/hugomottapb,hugomottapb,1,1,9210,1088,10371,160,4585.309965277777,0.0,0.0
Paulo Sérgio,Paulo_Sergio_RS,2022-07-21T19:05:24.000Z,,0,1550195116635217922,0,paulo_sergio_rs,210001598530,https://www.instagram.com/paulo_sergio_rs/,1,http://www.twitter.com/@paulo_sergio_rs,paulo_sergio_rs,1,1,1,2,0,0,27.204583333333332,0.0,0.0
Paulo Teixeira 1398,pauloteixeira13,2009-03-20T19:44:34.000Z,"Advogado, deputado federal no quarto mandato e secretário geral do PT.",0,25562342,1,pauloteixeira13,250001610668,https://www.instagram.com/pauloteixeira13/,1,https://twitter.com/pauloteixeira13,pauloteixeira13,1,1,260342,65832,31166,938,4898.177384259259,4.0,0.0
Bilico Paim,BilicoPaim,2020-11-10T12:13:27.000Z,"ser verdadeiro, tendo como lema: o certo pelo certo.",0,1326135814435315712,0,bilicopaim,190001638587,https://instagram.com/bilicopaim,1,https://twitter.com/@paim_bilico,paim_bilico,1,0,10,10,0,0,645.4906597222222,0.0,0.0
celgilvandro,celgilvandro,2019-02-18T22:51:49.000Z,"Coronel da Polícia Militar | Advogado
Pré-candidato a Deputado Federal pelo Amazonas",0,1097629789027004422,0,celgilvandro,40001609234,https://instagram.com/celgilvandro?igshid=YmMyMTA2M2Y=,1,https://twitter.com/motagilvandro?s=11&t=TJe8XT-17hc4CVDfFg-P2Q,motagilvandro,1,0,0,0,0,0,1276.047349537037,0.0,0.0
Carlos Gomes,carlosgomesdep,2013-06-25T18:53:18.000Z,Deputado federal reeleito pelo Republicanos do Rio Grande do Sul,0,1546427636,0,carlosgomesdep,210001601602,https://www.instagram.com/carlosgomesdep/,1,https://twitter.com/carlosgomesdep?t=ORId5dTX9QdrrPFZJj4qOQ&s=08,carlosgomesdep,1,1,1905,1141,573,83,3340.212986111111,0.0,0.0
Fábio Gomes,fabiogomesreal,2014-11-25T12:55:02.000Z,"Ex-Diretor de Políticas de Alfabetização do MEC. Auditor Federal (Tesouro Nacional), Engenheiro (UnB), Ex-Diretor de Administração (FNDE).",0,2891983336,0,fabiogomesreal,70001612576,https://www.instagram.com/fabiogomesreal,1,https://www.twitter.com/fabiogomesreal,fabiogomesreal,1,1,4928,130,329,8,2822.461782407408,0.0,0.0
Luiz Lima,Oficialluizlima,2018-02-20T21:26:37.000Z,"Deputado Federal pelo RJ e candidato à reeleição Professor, Atleta Olímpico e Medalhista Pan-Americano",0,966061552943222785,1,oficialluizlima,190001596802,https://instagram.com/oficialluizlima,1,https://twitter.com/oficialluizlima,oficialluizlima,1,1,73941,862,5041,210,1639.1065162037037,0.0,0.0
Luis Cesar,LuisCesarBueno,2009-06-02T20:39:22.000Z,,0,44202387,0,luiscesarbueno,90001649536,https://www.instagram.com/luiscesarbueno/,1,https://twitter.com/LuisCesarBueno_,luiscesarbueno_,1,0,28,0,9,0,4824.1393287037035,0.0,0.0
Marcelo Slaviero,souslaviero,2011-05-03T02:23:15.000Z,"Empresário, da Serra gaúcha. Liberal. Candidato a Deputado Estadual 👉🏻 3️⃣0️⃣0️⃣5️⃣4️⃣  pelo Novo! Agora é Slavi Neles! Gente nossa pela liberdade!",0,292081289,0,souslaviero,210001597034,https://instagram.com/SOUSLAVIERO,1,https://www.twitter.com/SOUSLAVIERO,souslaviero,1,1,399,175,528,6,4124.900520833334,0.0,0.0
Dep. Professor Allan Kardec,profallankardec,2020-11-24T12:21:53.000Z,"Professor, Deputado Estadual por Mato Grosso pelo PSB, Doutor em Estudos de Cultura Contemporânea, Servidor Público. Candidato a Deputado Federal por MT.",0,1331211206414245894,0,profallankardec,110001601575,https://instagram.com/profallankardec?igshid=YmMyMTA2M2Y=,1,https://twitter.com/profallankardec?s=11&t=6VPW6GXEVSHK2-VqYi04Pg,profallankardec,1,1,524,207,196,1,631.4848032407407,0.0,0.0
Prof. Chris Grace,profchrisgrace,2014-03-10T02:39:25.000Z,"Pré-candidata a deputada estadual pelo PT/SP
Mais livros de história.. menos ignorância política!",0,2398414876,0,profchrisgrace,250001611796,https://www.instagram.com/profchrisgrace/,1,https://twitter.com/profchrisgrace,profchrisgrace,1,1,112,261,1276,2,3082.889293981482,0.0,0.0
diego perez,1Diegoperez,2012-08-26T20:30:07.000Z,,0,783138270,0,1diegoperez,170001620373,https://www.instagram.com/1diegoperez/,1,https://twitter.com/1perezdiego,1perezdiego,1,0,4,0,0,0,3643.1457523148147,0.0,0.0
Abner Faria CCB,abnerfbolsonaro,2021-12-22T13:36:52.000Z,"Deus, Pátria, Família e Liberdade. ☺️🙏🏻🙌🏻🇧🇷
Passos - Minas Gerais.",0,1473648523254054912,0,abnerfbolsonaro,130001619028,https://www.instagram.com/abnerfbolsonaro,1,https://twitter.com/abnerfbolsonaro,abnerfbolsonaro,1,1,7,23,126,0,238.43273148148148,0.0,0.0
JC Flexa Ribeiro,FlexaRibeiro,2011-05-08T16:10:56.000Z,,0,295222276,0,flexaribeiro,140001611666,https://www.instagram.com/flexaribeiro,1,https://twitter.com/senadorflexa,senadorflexa,1,0,23,1,3,7,4119.325740740741,0.0,0.0
André Manzano,amanzanoSP,2020-11-06T14:28:29.000Z,"Paulistano, nascido na periferia e criado para o mundo. 
Ama São Paulo. 
E em luta no processo seletivo para ser candidato a Dep. Estadual pelo Novo.
Prazer.",0,1324720254250078208,0,amanzanosp,250001597756,https://instagram.com/amanzanosp,1,https://www.twitter.com/amanzanosp,amanzanosp,1,1,46,128,206,0,649.3968865740741,0.0,0.0
Paulo Bornhausen,Bornhausen,2009-05-25T15:45:53.000Z,"Pré-candidato a Deputado Federal por Santa Catarina. Ex-Deputado Estadual, Federal e Secretário de Estado. #OPaulinhoVoltou",0,42427481,0,bornhausen,240001611143,https://www.instagram.com/bornhausen/?hl=pt-br,1,https://twitter.com/Bornhausen,bornhausen,1,1,9411,732,3047,314,4832.3431365740735,0.0,0.0
Dra. Sirlei Ratier,DraSirleiRatier,2022-05-27T14:05:30.000Z,🇧🇷Ativista política 🇧🇷 Coordenadora do #QgVoluntariosdoBolsonaroMS🩺 Médica 🇧🇷 Pré -Candidata à Deputada Federal,0,1530188243953766402,0,drasirleiratier,120001645940,https://www.instagram.com/drasirleiratier/,1,https://twitter.com/DraSirleiRatier,drasirleiratier,1,1,228,270,29,0,82.41284722222223,0.0,0.0
Floro Mauel,floromauel,2009-09-03T01:56:19.000Z,"Oi, eu sou o Floro Mauel criador do https://t.co/ANHafQj8A2",0,71141688,0,floromauel,180001601334,https://www.instagram.com/floromauel/,1,https://www.twitter.com/floromauel,floromauel,1,1,484,788,1449,0,4731.919224537037,0.0,0.0
Breninho Lutador,BrenoBrigido,2013-03-05T21:26:42.000Z,"Atleta e Professor de Brazilian Jiu-Jitsu 
Pré candidato a Deputado Estadual 
Profissional de Educação Física - UFRN",0,1244636652,0,brenobrigido,200001604186,https://www.instagram.com/brenobrigido/,1,https://twitter.com/BrenoBrigido,brenobrigido,1,1,334,0,501,0,3452.106458333333,0.0,0.0
Vinícius Mattioli,EuViniMatti,2022-03-05T02:52:01.000Z,,0,1499940581040140290,0,euvinimatti,160001597806,https://instagram.com/https://www.instagram.com/euvinimatti/,1,https://www.twitter.com/https://twitter.com/EuViniMatti,euvinimatti,1,1,24,201,82,0,165.88054398148148,0.0,0.0
Delegado Éder Mauro 🇧🇷,EderMauroPA,2014-07-12T22:53:31.000Z,"👊🏼 Deputado Federal PL/PA  🇧🇷 Deus, Pátria, Família e Liberdade 💀 Líder da Bancada da Bala/Região Norte ❌ Antiesquerda",0,2632802395,1,edermauropa,140001598311,http://www.instagram.com/edermauropa/,1,https://twitter.com/edermauropa,edermauropa,1,1,123896,1557,10040,237,2958.046168981482,0.0,0.0
Cairo Salim,cairosalim,2010-01-19T14:17:40.000Z,"Advogado, empresário e deputado estadual pelo PSD",0,106421942,0,cairosalim,90001695741,https://www.instagram.com/cairosalim/?igshid=YmMyMTA2M2Y%3D,1,https://twitter.com/cairosalim,cairosalim,1,1,913,461,1669,13,4593.404398148148,0.0,0.0
sardinha,sardinha,2008-05-09T15:59:47.000Z,,0,14714905,0,sardinha,70001615876,https://www.instagram.com/sardinha/,1,https://twitter.com/sardinhadf,sardinhadf,1,0,45,0,0,0,5213.333483796297,0.0,0.0
Tom,Tom,2007-03-20T17:03:22.000Z,"Mississippi Ex-Pat

RIP @fauxmad",0,1648311,0,tom,250001639557,https://www.instagram.com/tomé_abduch,1,https://www.twitter.com/tomeabduch,tomeabduch,1,0,6926,692,42514,388,5629.289328703704,0.0,0.0
Amadeu Campos 15100 Deputado Estadual ♿️,amadeucampospi,2016-04-02T19:54:43.000Z,"Jornalista, pai e flamenguista. Pré-candidato a Deputado Estadual por acreditar em um Piauí melhor. Fale comigo também pelo WhatsApp.
https://t.co/a3sgyr8Hue",0,716353184319594496,0,amadeucampospi,180001605750,https://www.instagram.com/amadeucampospi/,1,https://www.twitter.com/amadeucampospi,amadeucampospi,1,1,976,1395,1417,1,2328.170335648148,5.0,0.0
Dadá Westphal,DadaWestphal,2018-08-17T16:04:31.000Z,Advogado. Pré-candidato a Deputado Estadual pelo Partido Novo.,0,1030485533770883072,0,dadawestphal,240001597544,https://instagram.com/dadawestphal,1,https://www.twitter.com/dadawestphal,dadawestphal,1,1,102,63,211,0,1461.3301967592595,0.0,0.0
Protetora Carol,Protetora_Carol,2021-08-04T18:13:46.000Z,"Auxiliar Veterinária , Auxiliar em Enfermagem, &
Técnica em Radiologia Médica e Radiodiagnóstico.
Castração Social: https://t.co/fZ9aQWfBRE",0,1422984085224534020,0,protetora_carol,160001603307,https://instagram.com/protetora_carol?igshid=YmMyMTA2M2Y=,1,https://twitter.com.br/carol_protetora,carol_protetora,1,0,0,0,0,0,378.24043981481486,0.0,0.0
Juliana,jusalvetti,2011-02-02T18:10:43.000Z,,0,246389657,0,jusalvetti,250001619352,https://www.instagram.com/jusalvetti/,1,https://twitter.com/jsalvetti,jsalvetti,1,0,0,1,4,0,4214.242557870371,0.0,0.0
Leandro Altrão,drleandroaltrao,2010-08-13T20:17:07.000Z,"Médico especialista em Medicina de Família e Comunidade, pai do Leonardo e da Lorena, casado com a Fran.",0,178074618,0,drleandroaltrao,250001620592,https://www.instagram.com/drleandroaltrao/,1,https://twitter.com/drleandroaltrao,drleandroaltrao,1,1,45,78,51,1,4387.154780092593,0.0,0.0
Fernanda Prado - PT,fernandapradopt,2009-07-15T17:41:36.000Z,Instagram : @fernandapradopt,0,57081556,0,fernandapradopt,250001610699,https://www.instagram.com/fernandapradopt/,1,https://twitter.com/fernandapradopt,fernandapradopt,1,1,308,669,17789,4,4781.262777777778,0.0,0.0
Tião do Aracapé,tiaodoaracape,2020-08-25T13:05:45.000Z,-Conhecido como Tião do Aracapé -Pré-candidato a vereador de Fortaleza-CE,0,1298244862601564162,0,tiaodoaracape,60001603488,https://instagram.com/tiaodoaracape?igshid=YmMyMTA2M2Y=,1,https://twitter.com/tiaodoaracape?t=Llsnr_YIRQDYT_6icisMHg&s=09,tiaodoaracape,1,1,2,16,9,0,722.4543402777778,0.0,0.0
Luciano Duque 77123,lucianoduquepe,2015-07-22T23:57:25.000Z,"▫️Ex-prefeito de Serra Talhada-PE ▫️Empresário ▫️Pai de Gabriel, Miguel, Rafaela e João ▫️Casado com Karina Rodrigues",0,3388202415,0,lucianoduquepe,170001610741,https://www.instagram.com/lucianoduquepe/,1,https://twitter.com/lucianoduquepe,lucianoduquepe,1,1,195,38,1370,2,2583.0017939814816,5.0,0.0
Talíria Petrone 5077,taliriapetrone,2010-01-11T00:16:13.000Z,"☀️ Deputada Federal pelo RJ e candidata à reeleição 5⃣0⃣7⃣7⃣
✊🏾 Professora de História, negra, feminista, ecossocialista
🧒🏽 Mãe de Moana Mayalú",0,103704608,1,taliriapetrone,190001600487,https://www.instagram.com/taliriapetrone/,1,https://twitter.com/taliriapetrone,taliriapetrone,1,1,294910,1442,19226,873,4601.988738425926,4.0,0.0
🔰Rodrigo Alves🇧🇷🇺🇦,rodrigonovo30,2018-08-28T00:41:35.000Z,"Engenheiro Químico, Pós Graduado em Segurança do Trabalho,
Doador e Voluntário",0,1034239537369821184,0,rodrigonovo30,130001598371,https://instagram.com/rodrigonovo30,1,https://www.twitter.com/@PignatonRodrigo,pignatonrodrigo,1,0,334,591,1908,0,1450.9711226851853,0.0,0.0
Bruno Pantoja,BrunoPantoja18,2017-12-04T17:18:28.000Z,,0,937732848085340161,0,brunopantoja18,170001618399,https://www.instagram.com/brunopantoja18/,1,https://mobile.twitter.com/brunobuypantoja,brunobuypantoja,1,0,0,33,0,0,1717.2788425925926,0.0,0.0
Major Mecca,MajorMecca,2017-11-16T04:53:05.000Z,"Candidato a reeleição a Deputado Estadual São Paulo. 
Conservador nos Costumes e Liberal na Economia, Policial Militar Res. onde servi 31 anos",0,931022287066804224,1,majormecca,250001610181,https://www.instagram.com/majormecca,1,https://twitter.com/majormecca,majormecca,1,1,20248,901,9938,54,1735.7964699074073,0.0,2.0
Luciano Moura 🇧🇷1️⃣2️⃣🌹🇧🇷,LucianoMouraSP,2011-02-07T20:13:12.000Z,"Pré-candidato à Deputado Federal por SP.

Rapper, professor, locutor e apresentador! 

Email:
contato@lucianomoura.com.br

 What'sApp:
(11) 93017-6688",0,248824571,0,lucianomourasp,250001643722,http://instagram.com/lucianomourasp,1,http://twitter.com/lucianomourasp,lucianomourasp,1,1,1676,4067,7971,3,4209.1575,0.0,2.0
Isolda é 13.123 🌟,Isoldadantaspt,2012-12-09T14:29:15.000Z,"🚩Deputada estadual candidata à reeleição 13123
👩🏻‍💼Cientista Social e professora
✊🏼Feminista
🌟Firme na defesa da classe trabalhadora",0,999393290,1,isoldadantaspt,200001603626,https://www.instagram.com/isoldadantaspt,1,https://twitter.com/Isoldadantaspt?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr,isoldadantaspt,1,1,6643,1392,4231,35,3538.3963541666667,2.0,5.0
Alex Arruda,BlogdoArruda,2010-01-21T21:40:12.000Z,,0,107214929,0,blogdoarruda,250001597667,https://instagram.com/blogdoarruda,1,https://www.twitter.com/blogdoarruda,blogdoarruda,1,1,0,1,0,0,4591.097083333333,0.0,0.0
Hermano Morais,HermanoMorais,2009-10-09T01:31:45.000Z,"Deputado estadual (PSB), ex-vereador de Natal e bancário aposentado pela CEF. Um lutador, sempre em prol da coletividade.",0,80995814,0,hermanomorais,200001603625,https://www.instagram.com/hermanomorais/,1,https://twitter.com/HermanoMorais,hermanomorais,1,1,15610,645,13252,86,4695.936284722223,0.0,0.0
Maria Marighella,mariamarighella,2020-01-23T16:48:35.000Z,"Mãe, Mulher, Maria, Marighella.
Atriz e Vereadora de Salvador pelo PT. 
Pré-Candidata a Deputada Federal ⭐",0,1220387710462021633,1,mariamarighella,50001605356,https://www.instagram.com/mariamarighella/,1,https://twitter.com/mariamarighella,mariamarighella,1,1,12281,2105,4253,46,937.2995949074075,0.0,0.0
Cris Sophia,Cris_sophiasp,2022-08-07T21:59:49.000Z,"Cris Sophia , Pré Candidata a Deputada Estadual pelo partido Novo .",0,1556399656837554183,0,cris_sophiasp,250001597772,https://www.instagram.com/cris_sophiasp/,1,https://www.twitter.com/https://www.twitter.com/criistisophiia,criistisophiia,1,0,1,22,14,0,10.083460648148149,0.0,0.0
Luciano Cazz,lucianocazz,2009-06-28T16:53:43.000Z,,0,51776444,0,lucianocazz,210001601590,https://www.instagram.com/lucianocazz/,1,https://twitter.com/lucianocazz?lang=pt,lucianocazz,1,1,93,55,394,2,4798.296030092592,0.0,0.0
Dayany do Capitão,dayanydocapitao,2021-11-04T19:37:30.000Z,🇧🇷 Pré-Candidata a Dep. Federal •Esposa do deputado federal @capitao_wagner •Mãe da Raiany e do Felipe,0,1456344779625799688,0,dayanydocapitao,60001608898,https://www.instagram.com/dayanydocapitao/,1,https://twitter.com/dayanydocapitao?t=KNBdIshdqbonBkjSmQ8QAA&s=09,dayanydocapitao,1,1,58,6,99,0,286.1822916666667,0.0,0.0
Nando Gross,NandoGross,2010-07-20T16:50:08.000Z,"Jornalista
Candidato a deputado estadual
Vote 12444
#AgoraVocêTemVoz

https://t.co/5bLaCLrqgL
https://t.co/BCzdlffepu
https://t.co/lUKAwmxoVJ",0,168727553,0,nandogross,210001621329,https://www.instagram.com/nandogross/,1,https://twitter.com/NandoGross,nandogross,1,1,151194,3134,50935,364,4411.298518518518,0.0,5.0
Caio Alexandre 🇧🇷,caioagsp,2021-09-09T02:33:46.000Z,"Sem moderação na defesa da Liberdade
Conservador, Cristão, Direita e Bolsonarista. 
Por Deus, Pátria e Família 🇧🇷🇮🇱",0,1435793475765686272,0,caioagsp,250001643782,https://www.instagram.com/caioagsp,1,https://www.Twitter.com/caiosgsp,caiosgsp,1,0,12,86,82,0,342.89321759259263,0.0,0.0
Vitor Amaral - 30330 Dep. Estadual,vitoramaral30_,2019-02-28T03:10:56.000Z,"Candidato a dep. Estadual (RS)
Liberal cursando História Licenciatura; 
YouTube:Taura da História.",0,1100956487923499008,0,vitoramaral30_,210001597037,https://www.instagram.com/vitoramaral30_/,1,https://twitter.com/vitoramaral30_,vitoramaral30_,1,1,308,734,3970,0,1266.8674074074074,5.0,0.0
Yano Rodrigues,eusouyano,2015-06-23T16:29:08.000Z,,0,3342817041,0,eusouyano,230001610805,https://instagram.com/eusouyano,1,https://twitter.com/eusouyano,eusouyano,1,1,411,315,4012,0,2612.313101851852,0.0,0.0
Deputado Ciro Neto,cironeton,2013-09-27T02:01:40.000Z,,0,1909765362,0,cironeton,100001599575,https://instagram.com/cironeton?igshid=YmMyMTA2M2Y=,1,https://twitter.com/cironeton?t=AyjgSExL6zY74CoNKljdPw&s=09,cironeton,1,1,182,233,244,2,3246.915509259259,0.0,0.0
mariangela toccolini,toccolini,2012-11-18T17:36:48.000Z,,0,955894212,0,toccolini,70001616721,https://www.instagram.com/toccolini/,1,https://twitter.com/marcotoccolini/,marcotoccolini,1,0,0,1,0,0,3559.2661111111115,0.0,0.0
Cabo Daciolo,CaboDaciolo,2018-04-27T16:11:19.000Z,JUNTO SOMOS FORTES NEM UM PASSO DAREMOS ATRÁS DEUS ESTÁ NO CONTROLE,0,989899804200325121,1,cabodaciolo,190001643311,https://instagram.com/cabodaciolo?igshid=YmMyMTA2M2Y=,1,https://twitter.com/CaboDaciolo?t=nP07V0xsvP_N3HVCl0JqTg&s=09,cabodaciolo,1,1,124655,1463,1555,156,1573.325474537037,0.0,0.0
Rodrigo Dias🕊,rodrigodiasbsb,2017-05-14T17:45:00.000Z,Candidato a Deputado Distrital. Presidente do PSB/DF. Cientista Político/UnB. MBA em Rel. Gov/FGV. Mestrando em DH/ UnB. Ex Subsecretário de DH do DF.,0,863812402680397826,0,rodrigodiasbsb,70001636071,https://instagram.com/rodrigodiasbsb?igshid=YmMyMTA2M2Y=,1,https://twitter.com/rodrigodiasbsb?s=11&t=PLCJlThAkGVYm-Fq__VrmA,rodrigodiasbsb,1,1,4550,4628,3988,13,1921.2604166666667,0.0,0.0
Rosiane Eguchi,RosianeEguchi,2020-12-30T13:08:25.000Z,"Cristã, Patriota , Mãe de 3 filhos , Casada há 25 anos , Cirurgiã dentista ( UFPA) especialista em PERIO e ORTO . Professora no INSTITUTO KIKUCHI.",0,1344269065901256706,0,rosianeeguchi,140001596650,https://www.instagram.com/rosianeeguchi/,1,https://twitter.com/rosianeeguchi/,rosianeeguchi,1,1,18,37,99,0,595.4524884259259,0.0,2.0
Joenia Wapichana,JoeniaWapichana,2019-02-01T12:31:52.000Z,Primeira Deputada Federal indígena no Brasil.,0,1091313179152576512,1,joeniawapichana,230001610810,https://instagran.com/joeniawapichana,1,https://twitter.com/JoeniaWapichana?t=CQuZPvyKNu37BVv8d_TVgw&s=08,joeniawapichana,1,1,51981,83,1036,302,1293.4778703703703,0.0,0.0
ruymuniz,ruymuniz,2009-08-22T15:47:32.000Z,,0,67915179,0,ruymuniz,130001603587,https://www.instagram.com/ruymuniz/,1,https://twitter.com/ruymunizoficial,ruymunizoficial,1,0,6,1,0,0,4743.341990740741,0.0,0.0
Sallum ★ #LulaPresidente,oeduardosallum,2017-01-22T15:36:43.000Z,"🚩 Pré Candidato a Dep. Federal ✊🏼 29, Reeleito vereador mais votado de Tatuí/SP 👨🏻‍🏫 Cientista Político (UNESP) 🗣 VOCÊ decide minhas ações na Câmara!👇🏼",0,823192679458701312,0,oeduardosallum,250001610695,http://instagram.com/oeduardosallum/,1,http://twitter.com/oeduardosallum,oeduardosallum,1,1,608,219,652,0,2033.349502314815,0.0,2.0
Pier Petruzziello,pier_p,2010-09-28T14:53:37.000Z,Candidato a Deputado Federal pelo Paraná. Líder do governo na Câmara de Curitiba. #inclusão #autismo #esporte #inovação #trabalho,0,196186968,1,pier_p,160001603312,https://www.instagram.com/pier_p/,1,https://twitter.com/pier_p,pier_p,1,1,4451,636,21460,32,4341.379432870371,0.0,0.0
Aurelio,aur,2008-01-10T19:07:22.000Z,I love the unknown,0,12081552,0,aur,250001643906,https://instagram.com/Aurélia_Cinaqui,1,https://twiiter.com/AureliaCinaqui,aureliacinaqui,1,0,372,815,990,24,5333.203217592592,0.0,0.0
Antonio Mendes DF,antoniomendesdf,2018-01-17T16:27:01.000Z,"Antonio Santos Mendes, 23 anos, Técnico em Agropecuária, Técnico em Meio Ambiente (IFB) cursando, graduando em Administração, idealizador do Programa Escolampp",0,953664967298953216,0,antoniomendesdf,70001643985,https://www.instagram.com/antoniomendesdf/,1,https://twitter.com/antoniomendesdf,antoniomendesdf,1,1,21,62,248,0,1673.3145717592595,0.0,2.0
adriano galdino,adrianogaldino1,2011-12-04T10:49:24.000Z,,0,428112475,0,adrianogaldino1,150001619565,http://www.instagram.com/adrianogaldino1,1,http://www.twitter.com/adrianogaldino,adrianogaldino,1,0,1,6,1,0,3909.5490277777776,0.0,0.0
Everaldo Borges,pastoreveraldo,2010-05-23T04:10:32.000Z,,0,147071687,0,pastoreveraldo,190001636382,https://www.instagram.com/pastoreveraldo/,1,https://twitter.com/EVERALDO_20,everaldo_20,1,0,334,197,5819,0,4469.826018518518,0.0,0.0
