id,created_at,text,tweet_url,direct_reply,batch_user,hate_score,target_prob,violento_A01,cand_objeto_A01,racista_A01,machista_A01,lgbtfobico_A01,violento_A02,cand_objeto_A02,racista_A02,machista_A02,lgbtfobico_A02,violento_A03,cand_objeto_A03,racista_A03,machista_A03,lgbtfobico_A03,violento_A13,cand_objeto_A13,racista_A13,machista_A13,lgbtfobico_A13,violento_A04,cand_objeto_A04,racista_A04,machista_A04,lgbtfobico_A04,violento_A05,cand_objeto_A05,racista_A05,machista_A05,lgbtfobico_A05,violento_A06,cand_objeto_A06,racista_A06,machista_A06,lgbtfobico_A06,violento_A07,cand_objeto_A07,racista_A07,machista_A07,lgbtfobico_A07,violento_A08,cand_objeto_A08,racista_A08,machista_A08,lgbtfobico_A08,violento_A09,cand_objeto_A09,racista_A09,machista_A09,lgbtfobico_A09,violento_A10,cand_objeto_A10,racista_A10,machista_A10,lgbtfobico_A10,violento_A11,cand_objeto_A11,racista_A11,machista_A11,lgbtfobico_A11,violento_A12,cand_objeto_A12,racista_A12,machista_A12,lgbtfobico_A12,violento_final,n_violento,cand_objeto_final,n_cand_objeto,racista_final,n_racista,machista_final,n_machista,lgbtfobico_final,n_lgbtfobico,controle,lgbts,mulheres,pessoas_negras,n_grupos,filename
gAAAAABj7o7TOKgIJtWNXF24oKXspTltSqu87Q5aF4Yfo-LUHk4JCbermT33mFAsHIvJmhQnONDLUfODgqT5IBGiD8RLH4wt4RqV63u4QyGeCvdligLO234=,2022-08-16 21:56:26-03:00,"@pastorhenriquev Se é de esquerda,  é bandimdim.",gAAAAABj7o7TqX1TKN5qaAjkKi_HgG23f9xTP0WTaOjYdlNLLub5IU3SKS7r_RPRfPpMd1nyBjTXtIUY8Ws4YuZzjOOPIpRXu6XhW_0Ea7JrZnQDyVA4STFalIBAavYl9cTuUYGHVNDMgZJYiqnah2_uT_U-6CWBvA==,1,617468983,0.25257173,0.4922120355811243,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3,1.0,3,0.0,3,0.0,3,0.0,3,0,0,0,1,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7Ti-y0cnJb6Ds2zRl-Soxi3KxK9lsdTP9hnbuEJZrN30hg-8dSWb4K4CTcKI8aeozb7rBLDPfOolXtinSPNzCnD2L9PI5PMk6B1N0249csuVU=,2022-08-17 10:03:21-03:00,"@TandaraCaixeta Lógico que vai entrar pra polícia, já tem tudo que precisa: homofóbica, transfóbica, desonesta, usa droga… já montou o perfil certinho pra conquistar os bolsominions 🤢",gAAAAABj7o7TOI7RrOa3n5zsX_d1Kp2xNyug6eMPcfynv5bu5Mp19wfn7dX2bEMHV3NMOP4oPOf8WCk2pl7OkfGxU08bBpr8knn8Qr1TMkaNY_iUCAfetKlkXhFUMrrXfR3VxTbqFVw4RpETz3cYL5TIiaGOTGR4bA==,1,209315961,0.5719472,0.9920124294898844,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3,1.0,3,0.0,3,0.0,3,0.0,3,0,0,1,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TltJm4SpTC-V8UDwA0H0-gNvz7eDRLQlK-tmPlbjuHkcjawVubA4vlc7fKYY1fzsT8VPBhef_y3ODzyEoqWnwad71oiLOV8OqOthQOUrGBvw=,2022-08-17 09:07:47-03:00,@esuplicy @LulaOficial @Haddad_Fernando Ah coitado,gAAAAABj7o7TsyRwLFJbXC6xRlHp5qGhtk-S5iYXKDgSsMSMBtwZeBi-hAX1bsW8mx5YXI86Mmi6iPowBNpmSt9uf8XZrioMlfpLSUEUI4xqglf8bvvp_monrnP8gfGv85LqCAs1o8NkFRmyf_aDj8zl1UoDA00v34fSbEDR7Z9v8olsO-QFPtg=,1,69373037,0.10147828,0.996060758987286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,0.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1,0,0,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TMOCoOxx9rrs2cd1C_TEZbHb5kpayReAqtaW6tCU7xxzKUcPly8qeQumz74olox9fjnpdpFy_GHeXPlE-lGulT5d2iOJUJiXR2l1vfWUUu5Y=,2022-08-17 12:02:46-03:00,@FernandaLoubac2 @veramagalhaes Vai babar ovo de político safado kkkk má,gAAAAABj7o7TqMWlsFq0ph53xhTXMIBhn8aT-t9P9DJpuAPne2b26pd7qsx34e_fll8yqH8s4Te1DDr0AGnq3QIVBkLpxBvd_hWGcsnnLa4dvdxs9v4lp5z9yiSl_zjX50mGqQAOWTqHxdAG8TW-NLGfY9Lpoy8TpyY2fDYxakvs6JpclF7cZmw=,1,1125416190199967744,0.8986042,0.0018188664726266,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3,1.0,3,0.0,3,0.0,3,0.0,3,0,0,1,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TB_IT18mYRQETYsAHgpWEIuVLRjMnbgRKSAtTjluP24z9AJwqB8QoLUnyUyyY0pI3xe_A2xa1ssioMjHZ99mlL6VmaUzek6aLblydDsv_Epo=,2022-08-17 11:43:55-03:00,"@samiabomfim vendo o Bozo assim fazendo biquinho e de cara amarrada só me vem a cabeça o freddie mercury prateado falando no ouvido dele ""ta com cara de bravo ta? fica tlisti não, fica tlisti não"" kkkkkkkkkkkkkkkkkk",gAAAAABj7o7TMvZcoesZrAUyzthctospzU-UnNM6FdsvghTi0SMXRqsLY6P4lq8JKuyPA2pKX1S3KbwxiyKwHAvQUR0fqa1lC3qNATeee9eK9ehWeKeSVSZMXzcBsgjICWIwniyjzLNmywpb7bacN_gjkbiDwj87thIpmSvMhsI9xYa8mecetnM=,1,27703690,0.72048706,0.9993466084997678,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0,0,1,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7T2BD-eaRD1LKo_Ci4JsKT_mNioHYpR4VqG6ZvTDdakUHZJchP6vRegcuhnSgruDgw0sdko8E5akBbvfmAKnm46lECs6lWAE7tJFWScnHxTUs=,2022-08-17 10:25:50-03:00,"@samiabomfim Essa aí deve ter sonhos eróticos com o Bolsonaro, coitado do marido",gAAAAABj7o7T-dwxyQino5nx1tgel_JI1QVMOCU2phc4Mf8_7L_uQCJaAKv_xilzCA_OLr9yviTGD0GtUxMiNBAM7o1aN3Xt3iVxF1YkgckEu13K4iMqgUPlmTgw44dV3vtvV28s4UFs5F-ScC-Y-tJnzz97VaQ-a0kMPVIX8U09kjqMpXbLgbM=,1,27703690,0.6368187,0.942065636332414,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3,1.0,3,0.0,3,1.0,3,0.0,3,0,0,1,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TJ5nYLHiLMWVvSdv3PkHnYoxlSq-gp3h6SR58T4zyxr9fwriNaP0wsVuEFgfLwq2mWehCQjPsPJ9busltVWcmR3OPCCh9EHDug9RSZhufq2A=,2022-08-17 09:48:43-03:00,@luizaerundina DOIS MORIBUNDO! FORMOL NA VEIA kkk,gAAAAABj7o7Tf1U4q62yn4ROq01DoiXT6NIzVUMjapC5cy1kVOcvp73DNqYB-OXvTEBm_2gpZGr_5qBl8N-SEoOJfiwAs_y7qhSc39nDgdd_RGzbuDqMi3JaJaJu7I0F18oh2dSc2vADt-sC4rlVIiFygCumIgie3w==,1,55022037,0.25759396,0.8531914637858597,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3,1.0,3,0.0,3,0.0,3,0.0,3,0,0,1,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TFiyM69KQDQ7wDy9A-ciZ2CFGB5c3B65DjUhJ5oSEAWzr6AgWIleJ_PxE7rgilzsq8VT6RZDKTj17nAEm9ZyBr-SspSRlHvGjwZcE7C45BtY=,2022-08-17 11:08:36-03:00,"@reportersalles Fernanda, vc acha que proibir é o caminho? Lembra qd proibiram cristianismo em Roma? 🤔",gAAAAABj7o7To-rXklYg_1HrPS-m66PRUvRb5pGddrrqDUoM53cJ5uXoVFWDJ6ibBWmIPPsf7tNZmX-NuVBlxUNTlk1A1COdDM6S9ed9fXa3sgxFF8k4WqIaqjeweYMX2w4xN98aX0EJuyoAyWUgFDu6tkGxEvW-wQ==,1,64523460,0.013271657,0.8741153544573532,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3,1.0,3,0.0,3,0.0,3,0.0,3,0,0,1,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TDe5LbYSbiAE-40hkFvjH5vMx2dCiBLiCBepsG28WxLy49ZduB-eO3Gxj5XegtEhRxd9JqfNQ1rldBLmC5vUkp7ICCjha7WYZZISY_UwioPE=,2022-08-17 11:38:00-03:00,@monicafraga Pra mim ele sempre parece estar possuído…,gAAAAABj7o7TOnHW_LKMZiktKMcZXsMR7SmQyywoD8bgZ8L5svz02DIk0ulsLib9o34Y8fNOOjGItuZ9eqNmStgs3txkkfesXpHguHP6GS06Y8j3MLYqQu_w1aoDPsH4jW4G-tTbZRwYLwMv49ekx3oH-PJdFLngx1A5f6RNzm4pX6E0TDQAgkg=,1,70207244,0.20483032,0.3293381208122473,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0,0,1,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TW3YLN5OwtiGLWgs8y_p26uBFsHiRx2WfILIpms6r3FryWo7bOnBDHTiNqvsDeVOJPQV6ld2GgNhJTfNY5ydQhaJPufldxUtpJnpQoyG9pz0=,2022-08-17 11:33:34-03:00,@monicafraga Tem olhos de gente ruim.,gAAAAABj7o7T0uJ091bp9KQfcudUvAxykTrQYqaEZ062ulgWSc4fmEimiKsWiaf7OP_LxohVhOH8CSkEJJ3VCm6QOpEWdrSuPL5Zfqa3iCU36j_nrL3k-Oa2Nak_BBYSKdYzgSl1hr8UidAkgdsNQTrEhPSEoEgWjSvCtOqRAm_cbV4346gCILg=,1,70207244,0.38308904,0.029472250276305,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0,0,1,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TYWh-BktK4ePXH0VVzbaqxvSq0I9jvmDyV4TL-ky_U_hd9pCNffzbJgNU2FToCyv6h9H-_4exN5DbsIfQHQRKx7zPDD7rsR5o23RL2meeCV0=,2022-08-17 13:45:57-03:00,"@deputadomoraes @brom_elisa @jairbolsonaro Imitando norte americano, né pateta? Bobalhão.",gAAAAABj7o7TnSx-RoAF7Z54vIfYnIT1ndXaMRpctYXv2uq1sBpC7Zxh0EOVyUOcQ95YDI9POs46hdXEOHa0qtYIca80H-2hDdRkOmDeSSFwsrzzNbLSKJPHWm3SJ3Yhft4Rwi17Rl58Q_AvDjT_YRQlNj6VfrSVvj-ETwA34MHtjKWT_hhy1YQ=,1,1081341581314150400,0.23057601,0.9256063181110424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1,0,0,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TItIZpEO_lHFHjaSfgsEzIxKNqEpEoI6VasH8Xg33A4h8VINaIF1dkmR_7II5dHQCNb8Baztt9VUK7xtBKucJzJxlM5T985pXcngnWfhKYjs=,2022-08-17 15:10:37-03:00,@joicehasselmann Sai fora porca traidora!!!,gAAAAABj7o7TCRtPb5ll5xha9LrsB6MNUHLV_08zjJvvmJDDakZMwpKgWe09qx1BQAVbcAwpwGM3L6B3RbUzarN45aJk9hPD0KjfH0IE4bK6pF_7pB1W4KZapBHMSAjHmZio_dHRJgx34KT5iPp5YsCne8EVA36ghg==,1,116519514,0.9302747,0.9998427044938036,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3,1.0,3,0.0,3,1.0,3,0.0,3,0,0,1,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7TDaphfEUuSQqi2MJLU3INwb9Zn5H8mi9tMUjMD2IN_O4uyYiguywYLssCfK0fnaKJyfsNfNgr6wCcCgVKBuKpyBsRwicS54rsstXnv5BhKsM=,2022-08-17 13:37:52-03:00,"@filipebarrost De qualquer forma, o auxílio não é do Bolsonaro, nem de nenhum político. É do estado...autopromoção com política pública é ilegal, inclusive.",gAAAAABj7o7ToruDgnIPtIbeCcTd0PhQ-2Qs3Uck8nuTh-ffA5z29qhCQdmyHKR2m0LyBUfn-2X8IWZwYfm9VdqOZ6ZtQcZshd_yDtMuZyNBDDNezSHV6bR39A4a3KOWH82FtUfEhB5CJnMRtSuq1Dc7nX_WscZRFEWXfpqPvlhpofoJH0EStmo=,0,225925013,0.0073439837,0.9999263044807344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,0,0,0,1,../dados/processados/eletweet22_tweets-anotados.csv
gAAAAABj7o7ToXy5Y3kozSAvMdYj7DC6fPKv1Qgm9-9mX8-1ZjDyqVsPvcQacXFjSqXK3Q_e08KgAAXpU0o4ceA5XcBzGCFFFfVuG0QshQwC-mRSF8sD2V0=,2022-08-17 12:51:56-03:00,@pauloteixeira13 de bunda,gAAAAABj7o7TNXWVu9D4ceWLV486ZVG12xIaKydYnYx9Hi6ZkOJNsGpjhA7KQ3iBpIy1MPCp8yx2wkkOLprM2adbIayEwnOpEsgyYeE4DpdAJ6Rr7_S9dMLOzSCQxPN_cW16QaX8S3lox_Ydroe38MoKWDkAOw_aDw==,1,25562342,0.83709204,0.4083988190537113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,0,0,0,1,../dados/processados/eletweet22_tweets-anotados.csv
