id,text,tweet_url,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista?
(1=sim, 0=não)","Comentário é machista?
(1=sim, 0=não)","Comentário é LGBTfóbico?
(1=sim, 0=não)",Unnamed: 8,filename
gAAAAABj7je3jzBg3jivjT8bK2l4-GZoy5axuDpG6rL7Ak87VSGwYAcqo14fVzRwlnzMttj0I5j-5zu1ywD8GRlMpzban4CWUXvq0pV_0hTPQePoAgYx-1k=,@beatrizcaminha @JanjaLula Coitada!,gAAAAABj7je30zhTc0PCIxBItuYJUDwEL4_K7UW8V0g4pV4yeB5_MphnmkgfS0jKmrltkwa9HhsfZityS8qVtY8QzZDfKu8AbqGIAbjxmZM5eXQdHYapaKzi8KhsyfLWzESxf8AJOLJ6cszbhj902bpCzpDQWWLDMw==,1,1,0,1,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3hpEodjt559ixGyVnId0m2Qj8OBKL2ubppw-eREUtTBin0i6Tl9WpDtIKHruLra7A6WFAx3Xo9ly8EfcWixm62p1z3oyzkGecJCONDMBshx8=,@vivireispsol @LulaOficial Meu Deus mulher te odeio,gAAAAABj7je3sbYLyKEdUzIzHUSy92YTAJqgvXceRRgcABk5MjqKw1yQO3T9fkBdHFryI-EZVZ7kwXd6Bdcw8Cvgb4WkAXsHCZNOKenv_68zDXVIWbfp0cwZsmSb_AB7q3ODVYCn3R2xSlDjwGm4Bf1jSAOUZ98WuKKVzgGjJZWRUogmtsczh10=,0,1,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3msz6NoYi0jEoflTJc_7s_PxuQRxawVH9RhVK2ljwn49mBkUXosZerSqknq7DymB9Vogqz5nssP0iAZ-GM_xCR_jFFFzGbjiFVq0y3TMh-A4=,@dudahidalgo13 Que vergonha,gAAAAABj7je3f_vIjFZ6uzXaSnQHrOAHZJnu0y-PGwTh6LGZuIz91ZmYxWfjlk5efRK6tj3aX0otvjido4blzjeU7cvrvr5J4sPlN8sIS7ELpk3biihQIQUjmd-VdIHiTzRSOeX7Y7pIRwEHa1PgQtBSOFE5ujjkow==,0,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3kX4g2IO15N08Dh1tBs6iW4ZXnKxVBGQ4YVaggmeQKfOf0__I4TeAvPHLbIkIduBG40tcBe-A8cG4nD8WxU01AqzAbXLjYxY3PQ0tPAlR_vc=,"@fabiofelixdf Inseticida, o cara da camisa Gucci que falou que a burguesia fede para um público que pagou mil reais num ingresso e trinta contos num pão com salsicha kkkkk ahhhhh, como deve ser bom ser burguês.... Pena que fede mesmo kkkkkk fede a hipocrisia",gAAAAABj7je3A00Il7xw7D3PqLzZ4cVdvVE5Z_yTZTXTzkWiK1Gku05i7Jud98Gqjsymfu3ajPpSBTBul7-FPWVzGEw2kzi_vkJGsCpAtGe7rqnSKf-EEJFhoaaZAbV-wuJmxxm4PDZFIAiick7VdbkXXBbmOrnCjw==,1,0,1,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3Dtc5UDnphfgap2sh-parFkdGfVoDM5msZs96rhka78GC4DsxkO3vCbHSe1qq35k2Ka-cqIMBLeO1BjhymKpA8gbw3RvUHvmlhRnGkAOybiQ=,@beatrizcaminha @JanjaLula Não dá para ser mais feias não…. Kkkkkk,gAAAAABj7je3cJkMkiq5hEB1pJya52fW-1Qdc1fv0zm1_jcmLmZ2uJVFccgw9hdzDK-i1vZ_iasFtEipsvppUfi38jAZJunS-mNZRhhKnk9KRXvOMkpjn222V1MjKQ-99hqMVOKrC91JWuSW7dguIN1QMNR7N204BQ==,1,1,1,1,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3aA3S2qq4_GIODIkIa9yk9_KnGJvsVZbcDS4oXsMGTF6dGL12fm4yRFeBSeYSQrLrSPnGCUYEbPQlGV_MUan-ARK7wZujUzNuTbb_rWYUHqI=,@beatrizcaminha @JanjaLula Kkkkkkk. Chupa cana,gAAAAABj7je3-aRaEekYFPWOIEzwUe_ldfs5NWBvav7o_b_SFpy_NR5MejerX4I69FZH-vsZKhTFa4BbIzE_BW_pumvUpv0Yspo1bD2SIQtAcpXdszMHGSHYzsEo6E-kPk_wn8rtflRMxwjIKTIL3asgJyieaQxbug==,1,1,0,1,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je37BgYLtdGk37CMrsGeeWDZMLf28kG4dV2eOrasy83kDVGNUyDuLSD1-dCzjNdDDF8f96P4-LJEA4pVYywJYNAaThjEAJDhPo0Yg20LWJGLAc=,"@fabiofelixdf L de lixo, ladrão, louco kkkk",gAAAAABj7je3xKL3AEJROLYKKixakXwPeuwdUe6tFFWpM3X9aAGiN1d8nxCsx1AxRT_BNSjzYylVooS2Ij1Dg1ICNtDQmW-g4dOBRNnkafnPhxO4Qw1ruQ-ayYUVEfrGZzLPEuNfTWZYftrYO8Z6uTG5eaA7rC5UgUclzCN-Pml3FVhORHGD-Z0=,1,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3O7tlA2V_F0s_cPio2ik89Ok07MeuTsHCvWW6w4L74bj2I-SJYbdm-fgiHBC7HP9mgfbe-AEVm5h7yU5--FLfUBQYZcp394n6XjZdGqCb-JI=,@bellagoncalvs Só absurdo! Sabia que ele cancelou a agenda de um evento de cultura no Palácio das Artes para receber o genocida em BH?! Esse cara é podre 🤮!,gAAAAABj7je3s4Pi2BXkgpOUHU-Un9UrrmQvy36-BfJLCQkhY887p7Cq4Q5ZLGqN7dQoKUtNjE4-78_w3jARxIk6BVZHS-WD_-p461tBVp7gzaxUN3dAcm1W53KYrHq3QiExGdH1DIvKVfQmu8ZNsbVbixmih0c-35BnE_8uyhjkemI2guQ1z4w=,0,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3KThp5ZWPtFqhMHxItMtLlMh92vK2ML4CzdAtZh2Lk9Xm2OEjbS39jdXcPVXyeAZj0ErFBdZ9V2WbYgaE_y5uKQaBVivsww50V4MJdFPABZ0=,@jessicamichels @CentralEleicoes Vai se ferrar idiota,gAAAAABj7je3YG0y9XKTfmveweyws6hC2-HNIesxfzUUQaFra2ETscaVTPrj-kC9qHD7W9UZqrh18vle95I9IYp6CxGEOYhYq7bwvgDcj2T3gt3wi8ZtfzoX487ai5kq61GYD5qzLVN3oQFXw33ewH4NzEccSnCLBQ==,1,1,0,1,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3cog7sjhACrKbqNDcyo1ACuvcB45WYNIIldkyEBo-SdsKgQHcqRXHfDenpNf509MKzLazOMnGfOH1vs2GLPfOf4ZaDl2SyKiG-VxkJaRc0og=,@fabiofelixdf #Absurdo,gAAAAABj7je3sC6_foGyNklZMmKVWEADbmddI60tw4_i6Y2pWsrR4KYt2HI-PnNKIsMuMrDY0AghMwygZG9tYtBYxRKva_OJA6sHL8oIkdYN30Hngn9vxo9_w6tn2vHh5KhZPQmcPSoCZCK2qADMUGqF1m68W5htT9Y4Wilxq7K5Rlsy-1pUQYc=,0,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3aUf6dLYfS6K3zaBfW43Pp4T9SuBoCwDkiBCW20iZZ8kWuWR_xC3K2a0Qv90SwsdVvHKuJHu3_L7_QOgji3CmJu8f2HxYyVMlJ-_XzTyeFEs=,"eu quero fazer história, quero eleger a primeira travesti preta de Pernambuco a de putada federal @RobeyonceLima você é gigante 5️⃣0️⃣0️⃣0️⃣ eu sou por que você é, você lá e nós de cá nessa mandata preta e travesti ❤️",gAAAAABj7je3OZwW8TULRts9rWdRdDyNT6gi4SxBB7DerTH7hUUQtxy9EJbMm2t8nqtxoWevzAnUA5FLrSDM0-fPvhuDHSPoyCS_VzpJTYJgxoY-n1hxt5LkdjrUQU52nq0V7mF-DRBp0rNOLKrQEzzriuZlamYQ1w==,0,1,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3rr1cd8QQ-zFbv_s4Ee_KRBJzDf8hR2wFEb23nmn5rs2mV8DlTjENpPiAmFZZCH2FHmkFffjXXC2CvLH_0C-qiPsbHzH70S8jHNthV4KnHtk=,@bellagoncalvs Ciro é uma vergonha! O maior narcisista que temos!,gAAAAABj7je3UXWrHGpmG5isRrCxJ99gBxFw27x3O9wZXa_G_PM2wjUlJuh7EpszQYxmJOQkZoiTMuACCVjkIed150XFm-gw5odFtw-koBZulHtbvfa3OuvWLB9Mt-KawEHz6806haAZQFSzbyLM5PzkvCL1-lMTyMIn5P2iED2s0Z8K7hrImv8=,0,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3MZShfR0FyFKhBQ_LiuCcuLK6Z5Tlx0FzcO-XUqPTV8pntH7dopSG33717hsjnCrymNhOJiAUpo-6cIn5E-MhYT3HWneWsIVWcsN5d9YhH30=,@bellagoncalvs Vocês já estão com medo de um garoto ? Kkk bota pra fuder Nikolas nesses frouxos de araque kkkkk,gAAAAABj7je3PbCw0U39n8L3zumMRubNKdgXvqSBwU98PE-TXjv_K2tsMH8Whyq_9O8C8qE76OOuhA_tjVHjJ9HFsKi3wmai70GR7bYd3_T_rR0_4nbeIxfj9uxrPKy7Qj92_KuM9PtM1gr-iOOS9w44_9MTPsYOfg==,1,1,0,1,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3Fw5bEaLS8jmE0D971t93_uybw3ucu3potOr3LR1ULp0gh0AxGWPYWbcV-2Ys3RiPQp71NvqRQkk69BCGi8AHPLdYqEbBMvw8M-8sWGG7Ny4=,@fabiofelixdf É isso aí Ibanes coloca esse bozo no lugar dele kkk,gAAAAABj7je31iWnGrfhcns0rKy2in1dg9EH1pPnf3ccLyeh2tPaA5_HdCsugJRrI9_lVd0udBTNg32Ciis4WTT2ClaCCpHfEmXlYAIQaF4tTISvbmK1VXyi22f-n2WxPm6ZhSOyiVIIE-A9DKlbGaSep-HZrlQYApoaPD5bn2a2rDVo3LUddls=,0,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3Jqlu2ZOH-3nUmGnbFMmgj5bI-0dHGVWpShL_nvJHSyWKdPaXAdSRAoPa0S8zlJgb4wlL3QT8n2C5P0Jt9y5z3EXLjwwEbJ07-Vs0MZpIrwY=,"@PabloAiresRN Vira mato né, inútil, devia nem gastar verba pública com essa merda",gAAAAABj7je3Zb-58t-lo1eifAfDxu9z0dwXKCgV9POvrMjk5ZMNEvdhxi1oEGhtNItmR_GfszYw7MZjwNwx_aPYdZMdVrqWaCwnUt40sEIwSsYdXWbNsA9W3w9gEhdzIx9uYXXqyTdHYNGC7QvmrIWqfjcAErEuCA==,1,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je37gIfEyb42Y5RvECJeABln2x69vPIe6SIwkVPL64E7DXzdUeF0UZquKUkhVreg-GTTViiA-B1dkI4Lp85-Vo3c7sY0zIaN3bIDoAbSe2GI5U=,"@bfeministapsol Kkk isso acredito que não pode ser a primeira coisa que vc vê e já rótula alguém,pence antes de falar estrupador",gAAAAABj7je3SKZSpNa6_GbNaKr6w0Hal-6j65EM05YR8WR0jC7frgizQ6COtrHuCJZK3ou0BkLZ4oSQzRZ4aGuSPK6NkRveZVIxpK8_RJt1lFogGmxba8_2FHzOOi1LAnjl5Ii5X4Zs8qnW0EPqqq_-LFrtLifbcQ==,1,1,0,1,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3EJx7RBZBaFyTMcJC-Tcx79NYaxgcBW0AB6B4I9Pk1OcMieC5g9wgqJ09ZGYOKZ1r7lviI8gk77avNAWgAJ8uZ_To5fsBF6zui6ycPE0LFg0=,@beatrizcaminha @JanjaLula Tá de sacanagem ??,gAAAAABj7je3XXU6uz9tBa3owc7U7cVT-hWopVGiDvrmEf_W8wMaqZQjx25QtoLaJXQ2mYsArCQU3NDmJ1wr8-VMEPVsaIFCVIK8frtjct7mxOxtajs1AIXRVkulyupcZUf6eZSwkQWP0iopZRvENyYU6gyvYfRWMVta6DBGYuTK5R5O98aMKJM=,1,1,0,1,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je39ofBWvJn-U-jKTPOan3oy9BupAAn3xAQI3OW1S4vYl6pJ_vIAYqmRQivJ2TsZqLlGLZrUt-2No_gelzz3VTOccD7lEoqd2hBLskMffYnYjU=,@fabiofelixdf vcs são uma piada pronta . o desespero está a milhão kkkk kkkk chupa petezada,gAAAAABj7je3xHcAMYdS2s5ZOeRYWlkppoz2DTdJIPKd8nyTigq9qsw1k7LImfZEWvx6WAQ_jFDpV-xP0SXJ_vJUThGINNTpoabLH9CeZADLAQ93iyw9IX9CNp4gtpAbWfup2-qMq8rwpe61nC9hDvC5dbGvOvd-94RD7aUmX8awDwOuSmfYaLw=,1,1,0,0,1,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3fyf7Mt1N55_KUiG76UlgzskHbATm-Iu_GM4GZMGAn6KKPb-3BVDCpbwyl40StIb5DcVH0p3R8dZ2IAN4ZMaDWiavGgh-I7A4UUwxElssgoI=,@Marilacerdapt Habla mesmo mami,gAAAAABj7je31tuc1BpmbUM5uPy3EYUHvCUmdJ4Djeoa3bSw487w4rXUiEn7hIR5QxfesVVz3mDoZ6t2vvRFiQQp17_Unh_QqeGTgCfMeWRNrj0PbOuFkCXSOn_Mqmuv8dzmvuArf4Kms6bTgSWBKno7ht3jox9ClA==,0,1,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3PUZgj-ySQBq6B7pGdmjoDQ1LnNtw23KiylKt_EuKfpyRolQtVJEaxMl3UEn3ikU9n6korPAFgBdkqLvtx4BIU_bDW1DrS8SF2IDvN8cQp-s=,"@Izalourenca Se fosse eu já tinha tratorado era tudo...
Essa molecada maconheira do ESG é chata pra baralho...",gAAAAABj7je30uB4B6AQxqQvMqZekvHKYyW9A2Xvw_ePAgAb-X_7bz_aUqHs4ySjJ_TNZFs4ya8mhOHFuyqreKlCxYj04oN16zsxuIEmSKVG0YxxPFNgl5X0nxEwHpVQDCNMASDZ2AmZQXdeDtBpg-IADY-FqcMPyKYFoVyVCPw2ZktKhBnE-ow=,1,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je38e0O360vzGI5h6IiBtmR40Pdt5y27wcRFqQKWGygXER9g9VR_NhMLoza1wvkVsI-7N4eV-hbyDKbKen149ZvLkPfkDkIg-FWctBcv28uvCc=,@beatrizcaminha boa noite! Desculpa a intromissão! O que e bissexual?,gAAAAABj7je3Tzw9BDWQKnqysq1nmZWSBTBKZuBBLkKQK9AtvTFjKzLA6bGj7RgIhfE63suJjGVVfoNXlgn0sa7jrADXwqP2Xs_11TDcoPpOvJRiPnqhzS13ORxHgxv1MUZbFL4BedlZCnpqUrpd3uX0MJPgoy8uGGo6U3nnXbVYkffmLuk9Pk8=,0,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3j2MSYMAEmakd_BPNcRpnSToCXiZc6kV3kxV1l9WJ3aM3W5ZOi1ceb8gtWygCw3vxxguJsfCKfhoIrltXqxzlwRJKNu6rjIBl8XtDDfVgOEU=,@beatrizcaminha @JanjaLula Afff.vai assustar o cão,gAAAAABj7je3dxjgjNmXCGAizjlwhy4clghjxEF1y41vGO1l3B3bxvQiN-r_S_OljTPer0GQliIkruju-QscU7gJqbCGDFsnUuIeYZ_FN7yiA1qwG-6bi6hLnynh-F593i8DhM8V7qo8tmPi1yQzd0IfNWL4EpHW5k6Y4uhcvHlwKb48l5UN4oc=,1,1,1,1,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3ZVQuNlNFBTVsV0BPiw2GgXBOZIsj_NCWKAZQtGgvocuYOi4H6VuTkSTLFLBzfCx_0vclMWGfMTte5SU-KG5jlQQEy9Dnms4UWv81nPmOf1I=,@BennyBriolly Cabe recurso. Calma parasita.,gAAAAABj7je3N1kimDtkU61sOqYqcocxiloRv-K2ooE7LGsBdNI20kI4yvsduRUwYKx7vcsRbuNlEDyGjv6ha6ZddyvlAcHdvrt5vVneoh739PIBSx7A0UoTWrKM2KPXhlZyA9DBKXFhEkJ_2Xe3PHQ9TrrGn9ka4FiqhJpJ02NNElPcD8qB3dg=,1,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3yJZs-jV0tePpCzag-_JAKrKyhELOQjBZyg7QPF_9kmQgh3L0aLftjMc1OQMZXKPSehawa96HjqS0MGGybQ0H8jdT8JcShTmOYY170fq9Myk=,"@mariamarighella O MPT da Bahia, já instaurou um inquérito para investigar a fascista, vulga socialite do agro. 
BOLSONARO É RETROCESSO",gAAAAABj7je3rgvn6TLzvkQ4g80NzXa2bZ3YfBGxcsvGO7e-trhjWGj8HMjMVsjc1Dae7zQeZZWoidXQDtYhaIkX_WHL9g9f8mc_hpvRGmAPk9rBe61pmEw_hbP79McFbD2Z-yayc6_dHTo1Qb8KodLt5rkCm7hyghxzKX43cd_6yUpGF0kCdM8=,0,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3yvBbB_5h_ySwJKPfZgzDfJg958ZmABFj2HWJ1nEwF72ElB6OjPGWWxQhqefhRYinW1pI7QOuwTQGmi1mDVcK8dV3W2bObK0tybxqT8LqwCQ=,@VaiPaolla @MST_Oficial Essa raça de Bolsonaro tem que ir tudo pra cadeia,gAAAAABj7je3vOiEEv80u0qlHK84ny3cN0n7xZTq3m5KPKGeRoIxCdwZUx3dDWak2rT6vZAI3DSe07eLteI85-oscFZkV-6PwTkqMfBf-bsfvkZBHnIlIQbTW8dWs6D4zKoyCkK4gryFY7Pq-wLuj6Xj3HAob7efUMmxtxwCOfGIXYJXjUbaOT8=,0,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3OXLnvD44t9tDvfp38mTVV987i84u4-9E8w4ljjW6-7fs_L0o779u2uYybv8PpZ6vBvQoX_19vzExCdsNo6lzhslpCKBSW7t3D3gNYPygVok=,@fabiofelixdf Ei nove dedos! VTC mil X https://t.co/pQ14q4OUaE,gAAAAABj7je31mj47aoQlMJnPoZUxjiBoAPyfw7Rvn3VMKCieTuqETa_b0kqUFSK3c_L3410yL0IAm5LIDEw-5GTvyyOl2nbgJ16EejPuvEqqD8BoQHD07n0uRPCaHeQ19QMN_lf7YAtkvIP8iTskBs5aJNH17QCZg==,1,0,0,0,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
gAAAAABj7je3B2M0Rx6qHs_rP-88xy5SlSLD2VkkhxhU6z_3KtuyEa_wTwxUb0sAY2ZsuBSuVF4uZVaqJKf-WZKA9z6Ffm4ihWI_8y79V4eeltBHymaAijA=,@beatrizcaminha @JanjaLula Kkk piada,gAAAAABj7je3eRvqEZN2uKlSKfp_0BzfUXzplI73ELd91fweoclCp_eDAJ9QOEAYQrYYBG23F_OYvj8ZCQ_lav277Cd199k2J2JTNcgx8Y5RZqHaqUaUihoQRf2_VwUWtjudI0HVnfsq9baJDSbcFJMB9F0x_R8eK4nXgSHVgIg7qN45nfPpxGY=,1,1,1,1,0,,../dados/brutos/eletweet22/tweets_anotados_lgbts_A08.csv
